Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2019-10-01T19:57:53Z,NKE,91.546723151,-1,Market,Filled,-91.546723151, 
2019-10-02T13:42:16Z,NKE,90.832367015,-1,Market,Filled,-90.832367015, 
2019-10-02T13:42:16Z,AAPL,219.778857004,1,Market,Filled,219.778857004, 
2019-10-02T14:27:00Z,NKE,90.624013142,-1,Market,Filled,-90.624013142, 
2019-10-02T15:59:42Z,NKE,90.316443139,-1,Market,Filled,-90.316443139, 
2019-10-02T16:12:06Z,NKE,90.326364752,-1,Market,Filled,-90.326364752, 
2019-10-02T16:12:06Z,AAPL,217.001366484,1,Market,Filled,217.001366484, 
2019-10-02T16:35:00Z,NKE,90.58432669,-1,Market,Filled,-90.58432669, 
2019-10-02T17:06:32Z,NKE,90.276756687,1,Market,Filled,90.276756687, 
2019-10-02T17:26:35Z,NKE,90.058481201,1,Market,Filled,90.058481201, 
2019-10-02T18:56:00Z,NKE,90.733150885,-2,Market,Filled,-181.46630177, 
2019-10-03T13:43:00Z,NKE,90.842288628,-2,Market,Filled,-181.684577256, 
2019-10-03T13:43:00Z,AAPL,216.207797764,1,Market,Filled,216.207797764, 
2019-10-03T13:51:00Z,NKE,90.713307659,1,Market,Filled,90.713307659, 
2019-10-03T14:30:00Z,NKE,90.534718625,-1,Market,Filled,-90.534718625, 
2019-10-03T15:06:00Z,NKE,90.842288628,1,Market,Filled,90.842288628, 
2019-10-03T15:22:00Z,NKE,91.050642501,-630,Market,Filled,-57361.90477563, 
2019-10-03T15:22:00Z,AAPL,217.546944979,263,Market,Filled,57214.846529477, 
2019-10-03T15:59:18Z,AAPL,217.100562574,-263,Market,Filled,-57097.447956962, 
2019-10-03T15:59:18Z,NKE,91.219309922,627,Market,Filled,57194.507321094, 
2019-10-03T16:07:00Z,NKE,91.328447665,1,Market,Filled,91.328447665, 
2019-10-03T17:07:00Z,NKE,91.387977343,1,Market,Filled,91.387977343, 
2019-10-03T17:27:00Z,AAPL,218.796815713,-1,Market,Filled,-218.796815713, 
2019-10-04T05:06:22Z,AAPL,223.816137867,-263,Market On Open,Filled,-58863.644259021, 
2019-10-04T05:06:22Z,NKE,91.586409603,629,Market On Open,Filled,57607.851640287, 
2019-10-04T11:59:54Z,NKE,91.258996374,-629,Market On Open,Filled,-57401.908719246, 
2019-10-04T11:59:54Z,AAPL,223.826057476,263,Market On Open,Filled,58866.253116188, 
2019-10-04T13:38:33Z,AAPL,223.131684846,-2,Market,Filled,-446.263369692, 
2019-10-04T13:38:33Z,NKE,91.566566377,4,Market,Filled,366.266265508, 
2019-10-04T14:25:02Z,AAPL,223.320157417,-1,Market,Filled,-223.320157417, 
2019-10-04T14:25:02Z,NKE,91.507036699,1,Market,Filled,91.507036699, 
2019-10-04T15:06:57Z,NKE,91.298682826,1,Market,Filled,91.298682826, 
2019-10-04T16:33:12Z,NKE,91.814606702,-1,Market,Filled,-91.814606702, 
2019-10-04T18:53:34Z,NKE,92.032882188,1,Market,Filled,92.032882188, 
2019-10-04T19:31:00Z,NKE,92.221392835,-1,Market,Filled,-92.221392835, 
2019-10-07T13:53:00Z,NKE,92.211471222,1,Market,Filled,92.211471222, 
2019-10-07T15:25:00Z,NKE,92.330530578,1,Market,Filled,92.330530578, 
2019-10-07T16:09:36Z,AAPL,227.1590461,-1,Market,Filled,-227.1590461, 
2019-10-07T17:30:00Z,NKE,92.76708155,-1,Market,Filled,-92.76708155, 
2019-10-07T18:54:00Z,NKE,92.409903482,-1,Market,Filled,-92.409903482, 
2019-10-07T18:54:00Z,AAPL,224.827937985,1,Market,Filled,224.827937985, 
2019-10-08T13:31:00Z,AAPL,224.450992843,-2,Market,Filled,-448.901985686, 
2019-10-08T13:31:00Z,NKE,90.207305396,6,Market,Filled,541.243832376, 
2019-10-08T13:39:37Z,NKE,90.673621207,-1,Market,Filled,-90.673621207, 
2019-10-08T13:41:00Z,NKE,90.832367015,-1,Market,Filled,-90.832367015, 
2019-10-08T14:35:00Z,NKE,90.931583145,-1,Market,Filled,-90.931583145, 
2019-10-08T16:08:00Z,AAPL,223.835977085,1,Market,Filled,223.835977085, 
2019-10-08T16:31:00Z,NKE,91.437585408,-1,Market,Filled,-91.437585408, 
2019-10-08T20:13:22Z,NKE,91.665782507,-1,Market On Open,Filled,-91.665782507, 
2019-10-08T21:29:52Z,AAPL,225.204883127,-259,Market On Open,Filled,-58328.064729893, 
2019-10-08T21:29:52Z,NKE,91.685625733,634,Market On Open,Filled,58128.686714722, 
2019-10-09T13:51:00Z,NKE,91.546723151,3,Market,Filled,274.640169453, 
2019-10-09T15:46:23Z,NKE,91.705468959,-635,Market,Filled,-58232.972788965, 
2019-10-09T15:46:23Z,AAPL,224.956892902,259,Market,Filled,58263.835261618, 
2019-10-09T16:16:22Z,NKE,92.042803801,-1,Market,Filled,-92.042803801, 
2019-10-10T14:03:02Z,NKE,92.399981869,2,Market,Filled,184.799963738, 
2019-10-10T17:55:00Z,AAPL,227.774061858,-259,Market,Filled,-58993.482021222, 
2019-10-10T17:55:00Z,NKE,92.509119612,637,Market,Filled,58928.309192844, 
2019-10-10T23:46:09Z,NKE,93.203632522,-637,Market On Open,Filled,-59370.713916514, 
2019-10-10T23:46:09Z,AAPL,231.1268897,257,Market On Open,Filled,59399.6106529, 
2019-10-11T13:31:00Z,NKE,93.46159446,-1,Market,Filled,-93.46159446, 
2019-10-11T14:04:00Z,NKE,93.382221556,1,Market,Filled,93.382221556, 
2019-10-11T16:03:37Z,NKE,93.302848652,1,Market,Filled,93.302848652, 
2019-10-11T17:16:00Z,AAPL,232.793384012,-1,Market,Filled,-232.793384012, 
2019-10-11T17:16:00Z,NKE,93.025043488,1,Market,Filled,93.025043488, 
2019-10-11T19:25:26Z,NKE,93.630261881,1,Market,Filled,93.630261881, 
2019-10-11T20:01:44Z,NKE,93.699713172,1,Market On Open,Filled,93.699713172, 
2019-10-14T09:32:54Z,NKE,93.2631622,-642,Market On Open,Filled,-59874.9501324, 
2019-10-14T09:32:54Z,AAPL,233.259605635,254,Market On Open,Filled,59247.93983129, 
2019-10-14T13:31:00Z,AAPL,234.30116458,1,Market,Filled,234.30116458, 
2019-10-22T20:49:29Z,AAPL,240.15373389,-255,Market On Open,Filled,-61239.20214195, 
2019-10-22T20:49:29Z,NKE,94.245401887,642,Market On Open,Filled,60505.548011454, 
2019-10-23T13:31:00Z,NKE,94.175950596,11,Market,Filled,1035.935456556, 
2019-10-23T13:38:00Z,AAPL,240.411643724,-1,Market,Filled,-240.411643724, 
2019-10-23T13:38:00Z,NKE,93.570732203,1,Market,Filled,93.570732203, 
2019-10-23T13:44:00Z,NKE,93.243318974,2,Market,Filled,186.486637948, 
2019-10-23T14:21:00Z,AAPL,239.608155395,-1,Market,Filled,-239.608155395, 
2019-10-23T14:21:00Z,NKE,92.519041225,1,Market,Filled,92.519041225, 
2019-10-23T14:24:14Z,NKE,92.380138643,1,Market,Filled,92.380138643, 
2019-10-23T17:01:18Z,AAPL,240.729071212,-1,Market,Filled,-240.729071212, 
2019-10-23T17:01:18Z,NKE,92.350373804,1,Market,Filled,92.350373804, 
2019-10-23T17:26:50Z,NKE,92.102333479,1,Market,Filled,92.102333479, 
2019-10-23T19:14:00Z,NKE,91.824528315,1,Market,Filled,91.824528315, 
2019-10-23T19:53:00Z,AAPL,240.986981046,-1,Market,Filled,-240.986981046, 
2019-10-23T19:53:00Z,NKE,91.685625733,1,Market,Filled,91.685625733, 
2019-10-23T20:57:33Z,NKE,91.953509284,-662,Market On Open,Filled,-60873.223146008, 
2019-10-23T20:57:33Z,AAPL,242.584038095,251,Market On Open,Filled,60888.593561845, 
2019-10-31T11:51:52Z,AAPL,245.123457999,-251,Market On Open,Filled,-61525.987957749, 
2019-10-31T11:51:52Z,NKE,89.502870873,678,Market On Open,Filled,60682.946451894, 
2019-10-31T13:32:51Z,NKE,89.373889904,10,Market,Filled,893.73889904, 
2019-10-31T13:41:48Z,NKE,89.701303133,1,Market,Filled,89.701303133, 
2019-10-31T13:59:39Z,AAPL,245.202814871,-1,Market,Filled,-245.202814871, 
2019-10-31T13:59:39Z,NKE,89.076241514,1,Market,Filled,89.076241514, 
